ID,Scanner,Volume,Area,3D_model
CTC_55,Artec.Spider,3153.69,1743.92,TRUE
CTC_56,Artec.Spider,2902.07,1629.23,TRUE
CTC_57,Artec.Spider,962.74,1016.15,TRUE
CTC_58,Artec.Spider,3998.59,2471.28,TRUE
CTC_59,Artec.Spider,6535.8,2124.25,TRUE
CTC_6,Artec.Spider,5449.3,2048.64,TRUE
CTC_60,Artec.Spider,4788.02,1792.69,TRUE
CTC_61,Artec.Spider,14613.78,4113.53,TRUE
CTC_62,Artec.Spider,6839.12,2640,TRUE
CTC_63,Artec.Spider,10356.28,3639.48,TRUE
CTC_630,Artec.Spider,2312.96,1977.46,TRUE
CTC_631,Artec.Spider,2604.92,1872.68,TRUE
CTC_632,Artec.Spider,2383.08,1881.93,TRUE
CTC_633,Artec.Spider,2202.1,1547.23,TRUE
CTC_634,Artec.Spider,3267.39,2124.08,TRUE
CTC_635,Artec.Spider,1633.33,1442.68,TRUE
CTC_636,Artec.Spider,928.86,1241.16,TRUE
CTC_637,Artec.Spider,895.38,1048.79,TRUE
CTC_638,Artec.Spider,1001.04,1040.67,TRUE
CTC_639,Artec.Spider,1069.57,1127.97,TRUE
CTC_64,Artec.Spider,6319.98,2933.62,TRUE
CTC_640,Artec.Spider,1846.01,1319.15,TRUE
CTC_641,Artec.Spider,1228.34,1337.33,TRUE
CTC_642,Artec.Spider,3104.88,2118.31,TRUE
CTC_643,Artec.Spider,714.54,845.34,TRUE
CTC_644,Artec.Spider,3251.45,1885.55,TRUE
CTC_645,Artec.Spider,4466.11,2204.04,TRUE
CTC_646,Artec.Spider,1995.37,1564.9,TRUE
CTC_647,Artec.Spider,2197.68,1552.66,TRUE
CTC_648,Artec.Spider,1775.29,1214.65,TRUE
CTC_649,Artec.Spider,3530.36,2065.27,TRUE
CTC_65,Artec.Spider,2002.76,1913.72,TRUE
CTC_650,Artec.Spider,1141.57,997.42,TRUE
CTC_654,Artec.Spider,12902.64,4165.23,TRUE
CTC_655,Artec.Spider,11951.56,3960.93,TRUE
CTC_656,Artec.Spider,25483.08,7065.48,TRUE
CTC_657,Artec.Spider,4846.48,2239.72,TRUE
CTC_658,Artec.Spider,9671.15,3686.26,TRUE
CTC_659,Artec.Spider,2421.33,1605.54,TRUE
CTC_660,Artec.Spider,1593.57,1276.99,TRUE
CTC_662,Artec.Spider,1128.49,1103.81,TRUE
CTC_664,Artec.Spider,1545.92,1117.78,TRUE
CTC_666,Artec.Spider,1039.22,960.58,TRUE
CTC_668,Artec.Spider,1301.04,1023.8,TRUE
CTC_670,Artec.Spider,952.77,1109.97,TRUE
CTC_672,Artec.Spider,862.63,834.87,TRUE
CTC_678,Artec.Spider,1237.13,904.73,TRUE
CTC_679,Artec.Spider,1294.83,1008.88,TRUE
CTC_681,Artec.Spider,1300.22,833.7,TRUE
CTC_682,Artec.Spider,12982.65,4477.52,TRUE
CTC_683,Artec.Spider,6782.9,2712.03,TRUE
CTC_684,Artec.Spider,48320.9,10684.51,TRUE
CTC_685,Artec.Spider,35175.73,8299.42,TRUE
CTC_686,Artec.Spider,4409.61,2332.26,TRUE
CTC_687,Artec.Spider,3517.28,1633.06,TRUE
CTC_689,Artec.Spider,4427.51,1957.88,TRUE
CTC_69,Artec.Spider,7396.88,3023.32,TRUE
CTC_690,Artec.Spider,2543.36,1367.5,TRUE
CTC_691,Artec.Spider,3528.04,2779.75,TRUE
CTC_694,Artec.Spider,4607.65,1858.91,TRUE
CTC_695,Artec.Spider,3731.33,1744.12,TRUE
CTC_696,Artec.Spider,2607.59,1213.19,TRUE
CTC_697,Artec.Spider,1327.15,904.44,TRUE
CTC_698,Artec.Spider,3456.16,1588.4,TRUE
CTC_699,Artec.Spider,3738.09,1565.13,TRUE
CTC_7,Artec.Spider,5154.46,1856.56,TRUE
CTC_700,Artec.Spider,11420.69,3291.23,TRUE
CTC_701,Artec.Spider,22498.98,6851.38,TRUE
CTC_702,Artec.Spider,3489.81,2201.78,TRUE
CTC_703,Artec.Spider,3438.72,1994.55,TRUE
CTC_704,Artec.Spider,2304.18,1345.6,TRUE
CTC_710,Artec.Spider,3325.98,1805.77,TRUE
CTC_714,Artec.Spider,26864.88,5184.1,TRUE
CTC_715,Artec.Spider,4617.12,2258.11,TRUE
CTC_718,Artec.Spider,604.46,610.43,TRUE
CTC_72,Artec.Spider,3020.7,1928.75,TRUE
CTC_720,Artec.Spider,3500.99,1386.62,TRUE
CTC_722,Artec.Spider,12789.92,4587.09,TRUE
CTC_725,Artec.Spider,617.62,935.93,TRUE
CTC_726,Artec.Spider,1440.89,1123.43,TRUE
CTC_732,Artec.Spider,416.01,492.66,TRUE
CTC_735,Artec.Spider,1915.93,1203.33,TRUE
CTC_736,Artec.Spider,1044.67,828.23,TRUE
CTC_742,Artec.Spider,1140.22,1063.18,TRUE
CTC_744,Artec.Spider,630.84,634.73,TRUE
CTC_745,Artec.Spider,2850.14,2052.69,TRUE
CTC_751,Artec.Spider,46551.85,9488.25,TRUE
CTC_754,Artec.Spider,417.38,487.48,TRUE
CTC_755,Artec.Spider,2271.24,1522.77,TRUE
CTC_759,Artec.Spider,2556.73,1834.29,TRUE
CTC_760,Artec.Micro,102.53,207.84,TRUE
CTC_761,Artec.Spider,4803.03,2651.67,TRUE
